Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),N (mg/kg),P (mg/kg),K (mg/kg),Mg (mg/kg),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
Karta-267,0-30,Loy,8.83,2.55,4.87,1.48,32.41,42.62,24.24,406.99,17.8352692015686,37.86,10.68,1.2,8.19,1.28660171247447,0.65,Paxta
NTTM-269,0-30,Yengil qum,8.19,3.29,3.46,1.37,32.25,49.76,28.2,418.38,22.9302472637528,33.1,8.82,4.69887007840253,7.84,2.7333504259287,1.32,Paxta
NTXM-299,0-30,Yengil qum,7.88,3.28,4.34,1.47,26.82,54.37,29.9,401.95,41.6043191575662,43.27,12.09,2.95230829343487,7.5,1.95882524268588,3.21,Paxta
NMNX-37766,0-30,Qumoq,7.77,3.43,3.61,1.54,34.64,55.85,28.63,429.28,29.8050378929364,34.08,7.47,4.45304732459769,8.81,1.56210719280958,2.07,Paxta
NTXM-300,0-30,Qumoq,7.97,4.24,2.61,1.55,24.95,62.02,33.13,459.93,31.8594068330017,38.91,8.94,1.2,7.95,2.37678188079864,1.03,Paxta
NMNX-37768,0-30,Yengil qum,7.88,3.58,3.09,1.5,29.44,60.29,31.37,420.17,31.1982280582997,34.97,8.59,4.23423280462402,10.17,2.53136096238088,4.89,Paxta
NTTM-264,0-30,Qumoq,7.61,3.3,3.39,1.3,28.42,47.29,26.68,428.85,51.6661595330333,32.34,9.44,1.2,9.16,2.44923512429958,0.75,Paxta
NMNX-295,0-30,Yengil qum,7.85,3.42,3.63,1.58,16.79,52.31,27.07,423.52,47.7191582408704,38.69,8.68,5.02119554145134,8.43,3.27192909948953,2.27,Paxta
NTXM-308,0-30,Loy,7.92,3.48,3.94,1.57,39.92,56.93,30.6,415.86,16.5816367762027,23.48,10.37,3.09245909487221,7.01,2.5718927214518,4.37,Paxta
TSPD-2157,0-30,Yengil qum,8.81,2.78,4.49,1.52,19.05,45.84,25.6,437.41,29.3710193986537,26.67,8.64,3.40415484427692,8.93,1.9974783860201,1.16,Paxta
NTTM-264,0-30,Qumoq,7.59,3.41,3.22,1.56,15.1,56.91,30.98,419.23,42.8904765952342,22.91,8.32,2.96223535637202,,2.3174545636269,2.46,Paxta
NMNT-296,0-30,Qumoq,8.17,2.96,2.76,1.54,24.88,49.04,27.13,410.98,43.7612946028756,22.29,,5.21221081662351,6.94,3.34504126514653,1.78,Paxta
TSPD-2156,0-30,Loy,8.44,3.64,3.68,1.41,19.73,51.38,29.27,434.69,31.5628569326317,29.13,12.25,4.27468172206518,10.03,2.13433145243718,4.2,Paxta
NMNX-38497,0-30,Yengil qum,8.36,2.65,3.38,1.54,34.22,39.61,24.54,416.87,25.1807393027764,28.18,11.52,3.70141978994758,8.14,2.90210842569085,4.75,Paxta
NTTM-270,0-30,Yengil qum,8.33,3.76,3.99,1.49,22.12,60.47,32.58,466.54,50.5414169898975,22.83,9.63,3.40253832186183,9.63,1.82680667251555,1.48,Paxta
NTTM-271,0-30,Qumoq,8.16,3.74,4.43,1.54,15.23,56.68,31.38,434.55,26.0036751136524,23.14,9.17,4.74639976421527,10.38,2.74048318454965,0.94,Paxta
Karta-268,0-30,Qumoq,8.38,2.87,4,1.53,33.76,40.7,25.44,418.8,26.7810883156304,29.68,6.71,3.98,5.75,2.24882098642245,1.26,Paxta
NTXM-310,0-30,Qumoq,8.31,3.24,4.38,1.36,38.29,49.62,28.23,435.02,21.2503300572007,26.73,9.91,3.93,6.81,2.98840948513289,1.86,Paxta
NMNX-38492,0-30,Qumoq,7.69,3.28,4.27,1.55,26.45,56.15,29.01,424.47,40.0858203609136,26.85,8.78,3.93,8.35,2.74802423404799,4.15,Paxta
NTTM-267,0-30,Qumoq,8.43,3.46,3.42,1.43,34.07,54.44,29.95,420.8,32.0985182828136,27.62,5.82,3.95,5.46,3.15262372218309,4.68,Paxta
NTTM-271,0-30,Loy,8.93,3.37,3.98,1.47,26.28,55.33,31.51,490.28,37.8346283964429,28.3,10.43,3.94,7.83,2.43346067581774,4.95,Paxta
NMNT-295,0-30,Qumoq,8.9,3.97,3.47,1.41,34.66,56.54,33.09,450.92,53.6681005102659,29.19,11.14,3.97,8.27,1.62756006132495,1.54,Paxta
NTXM-305,0-30,Qumoq,8.64,3.22,3.89,1.25,29.38,51.38,29.01,427.97,29.8395866809498,26.79,9.23,3.98,8.22,1.98376534483367,0.53,Paxta
NMNX-39344,0-30,Qumoq,8.01,3.43,2.52,1.47,39.35,53.15,30.38,446.48,,23.19,7.64,3.97,6.11,2.20699090260224,1.49,Paxta
NTXM-312,0-30,Qumoq,7.51,4.14,2.65,1.4,24.61,65.63,33.98,431.85,52.05387019919,27.57,12.54,3.95,6.29,2.35187377051059,1.07,Paxta
NTTM-269,0-30,Yengil qum,8.21,2.78,3.85,1.46,35.74,45.75,26.19,411.73,57.6923959524911,24.56,6.67,3.99,10.01,2.1004536118916,2.13,Paxta
NTXM-310,0-30,Qumoq,8.54,3.19,3.87,1.46,28.97,51.23,27.89,430.78,27.1987330141714,27.78,10.19,3.97,7.13,2.26952692951893,3.27,Paxta
NTTM-273,0-30,Loy,8.66,3.36,3.13,1.44,25.9,58.8,28.29,431.67,37.4985576819812,27.74,10.72,3.99,7.24,3.36435769129057,1.73,Paxta
NMNX-39828,0-30,Qumoq,7.67,3.4,2.62,1.48,21.45,54.41,30.43,415.6,34.6004646540192,28.38,13.9,3.93,7.96,3.11598540445591,2.54,Paxta
NTXM-305,0-30,Qumoq,8.12,2.76,3.86,1.52,36.75,43.36,25.18,428.6,50.8462882354095,20.58,9.75,3.97,7.48,2.30684525415884,4.95,Paxta
NMNX-39339,0-30,Qumoq,8.2,3.02,3.43,1.48,16.77,51.42,26.81,405.9,23.6008848918539,25.65,8.23,3.94,4.16,1.51396842880829,2.5,Paxta
NMNT-300,0-30,Yengil qum,8.46,3.59,3.59,1.31,37.98,54.67,30.02,448.7,24.351228651112,23.43,9.87,3.97,13.04,2.69670975897486,1.18,Paxta
NMNX-40070,0-30,Loy,8.85,2.27,3.81,1.35,31.8,36.02,22.88,419.39,60.732894569563,23.05,9.96,3.92,13.69,2.30888783260652,1.1,Paxta
NMNX-39459,0-30,Qumoq,8.36,2.91,3.91,1.43,24.74,41.34,26.02,407.87,45.5126634370518,22.07,7.93,3.95,14.94,2.39215306606561,1.3,Paxta
NTTM-269,0-30,Loy,7.64,3.21,2.57,1.56,25.89,56.58,28.88,418.58,43.2364978000458,23.41,10.22,3.98,3.04,2.35370419029335,0.93,Paxta
NMNX-39461,0-30,Qumoq,7.96,3.5,3.25,1.33,28.85,52.01,29.29,450.11,38.1901230244498,24.83,8.28,3.94,10.77,2.16946339147662,0.82,Paxta
NMNX-39462,0-30,Loy,8.1,2.98,3.49,1.58,39.68,46.82,25.91,428.24,27.3616105755909,26.5,9.36,3.96,5.52,1.91946973217854,1.25,Paxta
NMNX-39949,0-30,Loy,8.27,2.84,3.74,1.36,36.71,42.07,23.81,425.5,46.1640908698933,19.43,9.12,3.99,8.01,2.79244863088114,4.51,Paxta
NTXM-314,0-30,Yengil qum,7.82,3.9,3.82,1.44,31.49,57.36,31.32,449.95,63.7221749518377,27.77,11.56,4,14.07,2.84896111144871,3.54,Paxta
NMNX-300,0-30,Qumoq,8.46,1.76,3.51,1.32,35.91,56.49,29.42,416.13,25.0112553125952,20.71,9.4,4,13.25,1.56686362627388,4.36,Paxta
NMNX-39824,0-30,Yengil qum,7.99,1.29,3.21,1.56,38.76,35.27,20.25,401.74,43.8024115825842,28.51,11.13,3.99,9.5,2.52991303572666,0.64,Paxta
NTTM-274,0-30,Yengil qum,7.94,,2.91,1.46,38.23,57.5,30.85,407.44,58.6243315769931,21.58,9.6,3.93,6.3,1.79604082556038,1.98,Paxta
NTTM-275,0-30,Yengil qum,8.13,1.57,3.09,1.3,28.01,70.01,36.19,444.48,50.2590405300203,25.49,12.3,3.99,9.55,3.5,1.58,Paxta
NMNX-299,0-30,Yengil qum,7.93,1.4,2.64,1.39,36.77,53.9,30.15,437.63,15,27.27,8.11,3.99,12.8,1.80458957411686,0.91,Paxta
NTXM-314,0-30,Yengil qum,8.55,2.03,2.67,1.48,24.04,32.62,19.61,426.08,40.2994178918619,29.87,13.01,3.99,9.58,2.03750545547391,2.79,Paxta
NMNX-40070,0-30,Loy,7.68,1.99,3.1,1.39,20.47,54.77,30.69,433.48,19.3594047431363,27.26,9.39,3.93,3.49,2.68770924656136,4.22,Paxta
TSPD-2163,0-30,Qumoq,8.49,1.29,4.43,1.47,17.37,59.32,33.79,444.67,28.1066704669606,23.48,11.57,3.94,9.91,2.86740540523471,2.76,Paxta
NTXM-309,0-30,Yengil qum,8.62,2.26,4,1.42,24.82,52.89,29.61,449.14,48.8989193745739,23.88,6.78,4.59548836218129,3.57,2.26730145698169,4.22,Paxta
NTTM-272,0-30,Loy,8.78,1.22,3.76,1.48,16.71,59.16,30.21,437.36,43.1065440152652,27.06,10.87,2.54857626954783,9.68,1.97391911692493,1.24,Paxta
Karta-275,0-30,Qumoq,8.31,1.95,4.36,1.45,23.59,43.38,25.06,415.29,61.2552114673095,26.51,7.22,2.5040438520303,3.77,1.2,2.98,Paxta
NMNX-41159,0-30,Yengil qum,8.12,1.68,2.86,,18.65,68.62,35.74,474.91,28.2360091050067,13.52,9.8,1,11.57,2.05049448279443,3.86,Paxta
NMNX-40427,0-30,Yengil qum,8.1,1.39,3.17,1.48,31.69,49.71,27.49,406.51,29.6441691936427,27.13,6.55,4.41772356756079,11.5,1.66625088781662,4.76,Paxta
NMNX-40548,0-30,Yengil qum,7.75,0.63,3.67,1.32,33.11,61.1,34.24,423.94,30.9294680499897,28.78,10.24,3.12460789983928,,1.66861258152903,3.19,Paxta
NTXM-311,0-30,Qumoq,8.59,1.8,2.98,1.38,27.14,43.94,22.77,405.14,36.4578346203085,27,9.77,6,9.41,1.93146847131129,1.74,Paxta
NTTM-277,0-30,Loy,8.34,2.07,4.37,1.46,37.82,46.52,27.07,434.19,26.4557293266073,,8.63,2.99249176461221,6.02,2.21138870650073,0.78,Paxta
TSPD-2166,0-30,Loy,8.82,1.92,4.17,1.62,28.96,34.61,18.63,400.96,24.857722887479,23.71,7.42,5.29073204160507,9.87,1.97476492764035,0.79,Paxta
TSPD-2168,0-30,Yengil qum,7.93,1.2,4.39,1.5,18.52,50.05,29.02,418.64,44.5423629713749,29.29,,4.39017898754543,13.45,1.57062234131931,4.84,Paxta
NTXM-321,0-30,Yengil qum,8.8,1.45,3.97,1.54,38.94,34.98,19.41,401.43,52.6102975486985,28.9,8.61,2.09581772372188,14.89,2.69419939280844,1.61,Paxta
NMNX-303,0-20 sm,Loy,7.32,0.97,2.2,1.39,19.05,41.48,22.87,355.48,35.1541524146131,13.76,11.19,2.74591870107015,6.57,2.01591546443264,2.16,Paxta
NTXM-312,0-20 sm,Gill,8.15,1.06,3.89,1.64,31.29,18.04,13.13,330.57,34.1936249294133,16.08,10.51,4.56205017965447,14.44,2.57396773034913,3.31,Paxta
NMNT-304,0-30,Qumoq,8.7,1.65,4.6,1.56,28.04,40.65,23.73,403.14,49.0676071531948,22.22,7.29,3.02217113585627,14.64,3.02315568396551,2.14,Paxta
NTTM-273,0-20 sm,Gill,7.49,0.15,3.17,1.58,39.91,30.12,18.64,353.86,40.6732940694218,22.72,12.69,3.82218308284188,3.96,3.5,1.36,Paxta
NMNX-40911,0-20 sm,Gill,6.46,2.3,1.43,1.49,21.15,57.95,33.69,409.55,38.2971422230648,16.38,8.27,4.47574881556407,12.94,4,2.38,Paxta
NMNX-41032,0-20 sm,Loy,6.31,1.59,2.39,1.4,32.76,79.22,40.32,455.71,35.2133943927747,23.76,8.11,6,11.77,2.71540823347752,3.52,Paxta
NTXM-312,0-20 sm,Gill,8.97,1.12,3.62,1.5,27.64,25.58,16.55,318.05,39.1274623024199,17.9,11.41,2.03573363466909,13.27,2.21611055280977,4.34,Paxta
NMNX-304,0-20 sm,Loy,7.36,0.67,3.44,1.52,23.96,33,17.91,324.82,33.8692344780481,17.68,12.18,1.63741750148176,10.1,3.45615472208269,0.84,Paxta
NTXM-313,0-20 sm,Loy,6.64,1.6,1.63,,34.5,90.12,46.06,536.36,26.3435451499364,15.86,13.8,5.2842705404986,3.5,2.85305364360229,1.64,Paxta
NMNT-305,0-20 sm,Loy,7.15,,4.07,1.34,25,53.4,28.79,372.28,35.6621646154459,17.55,7.78,6,9.72,2.39581656848069,0.9,Paxta
NTTM-274,0-20 sm,Yengil qum,7.2,1.6,4.3,1.41,26.07,39.28,22.77,358.52,45.7179313722768,18.75,9.88,1.5,10.78,1.55029688474847,2.65,Paxta
NMNX-40912,0-20 sm,Loy,7.15,0.69,2.02,1.33,37.24,75.61,37.68,468.78,59.1775066845964,15.93,12.23,3.08931351960993,,2.11203701204356,4.42,Paxta
NMNX-41033,0-20 sm,Gill,7.25,1.48,2.72,1.36,39.03,48.4,27.45,432.86,20,22.95,10.05,2.86289484581902,8.76,2.21021703293225,4.31,Paxta
NTXM-313,0-20 sm,Loy,7.41,2.19,1.14,1.24,26.37,90.23,44.88,480.61,49.9193566644795,18.97,7.28,3.47730403857752,8.39,1.62194186249878,2.45,Paxta
NMNX-305,0-20 sm,Qumoq,6.19,,,,31.68,91.89,46.77,502.88,68.6745312148509,25.76,11.28,3.31982004683546,,2.16655342736091,1.27,Paxta
NTXM-314,0-20 sm,Yengil qum,7.36,1.08,4.14,1.51,16.1,34.14,19.04,373.59,15.0731481414068,21.89,11.89,2.90064034429052,11.97,2.86762946799694,2.6,Paxta
NMNT-306,0-20 sm,Yengil qum,6.17,2.31,3.79,1.57,39.41,68.24,32.5,454.78,54,24.25,9.78,2.66464023484125,11.81,2.9,2.62,Paxta
NTTM-275,0-20 sm,Gill,7.25,1.41,1.92,1.46,23.72,52.97,27.96,405.14,19.1172473272643,22.71,7.39,2.88554760682545,10.67,2.59580693823411,4.01,Paxta
NMNX-40913,0-20 sm,Qumoq,6.1,1.82,0.57,1.27,29.12,94.22,46.23,492.38,43.5284790218271,12.48,10.33,4.30197757555276,13.1,1.78493170657252,2.32,Paxta
NMNX-41034,0-20 sm,Yengil qum,7.8,1.78,3.31,1.28,26.94,55.38,28.16,408.56,33.6034674172253,14.28,7.59,5.06126951935509,14.5,2.38753241443455,1.94,Paxta
NTXM-314,0-30,Loy,8.14,1.54,3.69,1.28,16.02,47.18,27.12,430.58,61.1991691951176,14.49,10.4,4.41914894616029,6.82,1.61699353973597,3.29,Paxta
NMNX-306,0-20 sm,Qumoq,6.14,0.46,1.39,1.38,36.02,79.55,41.34,453.04,46.9281794327148,23.48,8.6,2.07394686384183,6.3,2.87522182641885,0.87,Paxta
NTXM-315,0-30,Yengil qum,8.9,0.91,2.83,1.4,27.76,45.31,26.1,408.72,39.5280626006837,26.25,8.74,2.91262144883321,,3.5,0.93,Paxta
NMNT-307,0-20 sm,Gill,7.04,1.5,3.04,1.6,31.29,47.9,25.44,376.24,42.4797986866927,20.66,13.4,2.63643050240367,8.03,2.35122789337608,3.23,Paxta
NTTM-276,0-20 sm,Qumoq,7.92,1.11,0.53,1.24,28.49,80.36,40.42,488.25,49.7233039043349,28.73,12.67,2.10747607234715,12.03,1.2,3.97,Paxta
NMNX-40914,0-20 sm,Loy,7.81,1.75,2.71,1.27,22.83,73.69,39.19,457.53,23.6300093681774,20.13,9.97,3.32260761444843,13.18,2.64643890390137,1.21,Paxta
NMNX-41035,0-20 sm,Yengil qum,8.55,1.07,1.41,1.59,32.59,17.1,11.76,308.4,32.8876250389453,15.11,11.33,1,6.99,1.46555511553862,1.06,Paxta
NTXM-315,0-20 sm,Gill,7.69,2.13,4.09,1.43,15.16,32.58,19.56,365.42,53.2857843267714,14.24,9.05,6.12227632372734,13.8,1.25999914492318,2.54,Paxta
NMNX-307,0-20 sm,Gill,8.87,2.32,4.45,1.59,31.82,15.36,11.99,320.58,54.3453669236144,26.35,6.45,1.2,6.26,1.0528923296787,2.22,Paxta
NTXM-316,0-20 sm,Yengil qum,7.36,2.2,2.88,1.5,30.47,35.73,20.28,372.36,44.679582872075,24.3,9.01,4.20345082147133,9.06,3.5,4.63,Paxta
NMNT-308,0-20 sm,Yengil qum,6.74,0.98,1.2,1.39,21.7,56.9,30.22,411.66,13.6806429294278,25.58,,4.05102417585061,11.92,2.26498463225902,2.06,Paxta
NTTM-277,0-20 sm,Qumoq,7.14,1.7,2.86,1.43,34.56,70.77,38.97,455.43,37.9220091563574,13.98,10.09,2.67157490670264,3.93,1.70493548896711,1.13,Paxta
NMNX-40915,0-20 sm,Qumoq,6.12,2.04,2.94,1.6,35.94,77.05,38.19,430.32,47.1852571849858,29.92,11.33,2.27064392043994,11.13,3.04238330302485,4.44,Paxta
NMNX-41036,0-20 sm,Yengil qum,7.35,0.93,3.61,1.38,29.82,55.93,30.29,392.2,48.5063771892076,21.53,7.75,2.9079345021022,13.48,2.70084407552711,3.95,Paxta
NTXM-316,0-20 sm,Yengil qum,8.19,1.61,4.11,1.37,34,20.07,15.5,304.25,15,21.6,7.47,5.47339778038502,12.92,1.82332950839235,2.15,Paxta
NMNX-308,0-20 sm,Yengil qum,7.51,1.45,1.93,1.51,22.18,55.98,29.9,429.09,61.3337056186217,29.52,11.38,5.84133029162609,3.66,1.70477578372686,1.98,Paxta
NTXM-317,0-20 sm,Gill,8.57,1.17,4.64,1.57,21.01,16.93,12.54,294.63,39.5926493494532,28.87,8,4.84531614991439,7.85,2.30244512118366,3.35,Paxta
NMNT-309,0-20 sm,Gill,8.01,1.39,4.1,1.53,15.85,14.92,11.2,301.68,48.9683500309984,15.08,9.75,4.9752621774183,4.71,2.40507980917963,1.44,Paxta
NTTM-278,0-20 sm,Yengil qum,6.71,0.89,1.09,1.32,20.32,57.26,29.05,429.42,50.31390153448,16.36,8.26,5.68176147744033,5.9,2.12306065013175,4.75,Paxta
NMNX-40916,0-20 sm,Yengil qum,6.45,0.74,2.27,1.33,32.17,67.71,33.06,397.91,52.7868404521002,27.56,9.93,1.2,5.5,1.99117041033172,1.99,Paxta
NMNX-41037,0-20 sm,Yengil qum,8.25,0.73,4.72,1.36,15.42,61.77,34.46,433.64,57.6578915007639,26.48,6.95,2.78831885737858,12.65,1.79934445214387,4.52,Paxta
NTXM-317,0-20 sm,Qumoq,6.63,0.7,0.59,1.24,22.78,81.27,41.34,488.67,46.2990657025042,25.94,8.75,2.61508241864171,9.36,1.93748523452827,2.44,Paxta
NMNX-309,0-20 sm,Loy,8.7,1.21,3.9,1.46,26.28,15.57,11.45,317.78,49.9920231086287,26.26,10.07,5.49543304129657,4.95,2.30080791254299,2.86,Paxta
NTXM-318,0-30,Qumoq,8.34,0.5,3.91,1.54,15.72,46.79,28.16,403.8,40.9320530409088,18.93,9.92,3.55339388711644,11.15,3.0376671976865,1.96,Paxta
NMNT-310,0-20 sm,Gill,8.08,0.89,2.36,1.32,34.44,52.04,29.78,437.12,62.0942778432576,21.13,12.68,2.32768202839678,14.81,1.55945786904965,2.41,Paxta
NTTM-279,0-20 sm,Yengil qum,7.87,1.3,1.94,1.29,35.08,67.86,33.16,418.71,19.8491589501823,15.74,8.7,1.2,5.57,2.49520589677285,0.87,Paxta
NMNX-40917,0-20 sm,Qumoq,8.35,2.01,3.24,1.26,16.17,52.98,31.62,454.94,42.7182683272183,20.9,12.71,5.29895344391511,6.69,1.74389948412513,2.35,Paxta
NMNX-41038,0-30,Yengil qum,7.77,1.64,2.72,1.32,28,54.12,29.35,423.67,22.8913516411001,22.61,12.72,5.02177636183864,8.87,2.10156776565335,3.41,Paxta
NTXM-318,0-20 sm,Loy,7.71,2.39,1.54,1.55,34.99,35.88,20.04,391.9,15.4148586534675,15.87,10.3,3.07465449514169,6.84,2.78283403240588,1.22,Paxta
TSPD-2167,0-20 sm,Yengil qum,6.08,0.59,0.73,1.25,23.68,90.29,47.79,515.49,18.0986311670959,20.14,10.24,5.3322956935249,11.84,2.19627087565396,2.74,Paxta
Karta-278,0-20 sm,Loy,8.2,1.33,2.33,1.52,22.64,74.96,36.95,450.49,34.574948729373,17.63,6.81,1.2,8.03,2.87952730479667,1.14,Paxta
NTTM-280,0-20 sm,Gill,6.64,0.35,4.03,1.62,34.76,47.54,23.88,382.1,15,26.92,11.89,6,6.34,1.72108930980636,4.08,Paxta
NMNX-41159,0-20 sm,Qumoq,6.83,1.04,1.42,1.38,37.77,75.62,38.27,442.89,31.4800929733125,29.01,11.25,6,10.1,2.88218984001536,2.64,Paxta
NMNX-41280,0-20 sm,Loy,6.61,1.72,2.86,1.4,24.76,78.35,39.07,481.37,57.2425986077784,18.52,10.44,2.03555215443592,11.18,1.82590632795743,4.56,Paxta
NTXM-319,0-20 sm,Yengil qum,7.1,1.67,2.34,1.41,15.14,65.44,34.07,442.08,51.6095865053521,15.66,7.02,2.35873290835643,11.03,3.29603881043623,3.99,Paxta
TSPD-2168,0-20 sm,Gill,7.16,1.29,3.52,1.41,32.97,36.88,20.36,362.6,33.871063427335,19.63,6.82,5.61805440099663,14.56,3.58753698060329,1.62,Paxta
Karta-279,0-20 sm,Gill,8.62,0.49,3.67,1.59,21.81,26.72,15.76,332.12,46.6064588759002,15.1,7.89,4.12789820637894,9.92,2.98727335805196,0.58,Paxta
NTTM-281,0-20 sm,Qumoq,6.45,1.91,1.55,1.29,25.67,80.26,42.15,508.06,20.0421812836846,14.82,9.1,1.64768621196447,9.87,2.26234856891231,0.93,Paxta
NMNX-41401,0-20 sm,Qumoq,8.38,1.99,1.41,1.24,31.79,68.24,38.21,460.47,22.2425775385715,15.69,9.78,4.2776783597157,9.68,2.30024547509798,0.61,Paxta
NMNX-41522,0-20 sm,Yengil qum,6.3,1.79,1.92,1.4,28.67,83.86,43.05,447.55,30.9688577488783,17.38,9.1,4.67076358559549,8.08,2.03928016678951,3.12,Paxta
NTXM-320,0-20 sm,Qumoq,6.19,,2.55,1.32,22.56,74.48,38.05,426.6,42.7989111224655,27.59,12.87,2.16895365055715,9.03,1.56422379620935,3.81,Paxta
TSPD-2169,0-20 sm,Gill,8.28,1.24,4.52,1.62,36.89,24.88,14.29,307.08,37.2810790641056,11.62,8.04,1.71728915240493,5.26,1.2,0.71,Paxta
Karta-280,0-20 sm,Yengil qum,7.68,1.63,2.41,1.32,36.21,61.99,32.35,431.6,26.9213637770717,19.57,10.39,3.63329441281449,,2.80161681543951,3.02,Paxta
NTTM-282,0-20 sm,Yengil qum,7.63,1.73,1.53,1.27,31.07,81,43.02,449.22,36.3752951508248,24.02,7.24,6.5876585434937,4.99,2.61655353825789,3.1,Paxta
NMNX-41643,0-20 sm,Loy,7.51,1.62,1.41,1.31,18.15,64.84,35.35,418.83,49.5392517612487,23.06,7.73,2.14442771403991,13.82,2.08205931326302,1.72,Paxta
NMNX-41764,0-20 sm,Loy,6.67,1.26,1.17,,36.8,83.99,43.59,485,23.5979463170531,24.62,6.56,4.66165282638253,14.81,1.3997143911834,1.88,Paxta
NTXM-321,0-20 sm,Yengil qum,7.78,,2.4,1.37,33.74,58.23,30.88,375.08,21.4718008707289,22.81,13.12,6,9.07,2.9,2.34,Paxta
TSPD-2170,0-20 sm,Yengil qum,7.66,0.75,2.71,1.59,36.74,29.21,17.45,324.42,28.9916356586945,17.89,11.42,1.2,6.61,1.73373374898355,1.43,Paxta
Karta-281,0-20 sm,Qumoq,6.25,1.35,0.88,,35.37,93.51,47.86,487.63,36.7821001601105,24.42,9.88,7,3.93,3.30208419394059,3.79,Paxta
NTTM-283,0-20 sm,Loy,6.43,1.47,1.72,1.25,26.86,76.76,38.46,413.3,39.6178524456341,21.41,9.21,5.35948907397978,5.55,2.57183953379442,3.37,Paxta
NMNX-41885,0-20 sm,Gill,8.78,0.89,3.64,1.34,30.23,35.28,18.07,366.18,21.9475932720135,10.47,7.52,7,10.55,2.83904143414011,3.55,Paxta
NMNX-42006,0-20 sm,Yengil qum,6.24,2.11,3.33,1.37,27.45,58.64,32.9,438.03,22.0084687969155,22.54,7.69,7,12.36,2.0707295751118,2.36,Paxta
NTXM-322,0-20 sm,Loy,6.24,1.21,1.04,1.47,35.93,82.65,39.74,491.46,39.5506833790818,25.85,10.38,2.44455518103191,6.37,2.13141473627064,4.99,Paxta
TSPD-2171,0-20 sm,Loy,6.26,,0.91,1.4,24.63,89.9,43.42,492.74,36.5192456385303,17.96,9.17,5.33093509399001,8.59,3.02778871754523,4.25,Paxta
Karta-282,0-20 sm,Yengil qum,8.69,1.13,0.68,1.42,15.88,68.16,35.1,462.41,26.1048208283432,14.06,11.57,2.90441145048179,11.38,2.74683980834025,3.26,Paxta
NTTM-284,0-20 sm,Loy,8.38,1.42,3.07,1.39,32.36,40.77,21.63,368.1,39.067900975405,24.96,6.71,1.2,12.66,2.79190095251698,4.89,Paxta
NMNX-1398,0-20 sm,Gill,8.93,1.03,4.91,1.64,34.41,14.7,11.2,313.31,26.1188700908201,17.84,9,3.33461673766203,6.64,1.21736628186191,1.16,Paxta
NMNX-303,0-20 sm,Qumoq,6.01,2.39,0.55,,19.53,92.15,47.96,475.67,20,13.61,11.45,6,9.15,2.27829348444916,1.98,Paxta
NTXM-312,0-20 sm,Yengil qum,8.24,1.95,1.98,1.26,25.4,83.9,44.15,491.23,38.7300907952688,27.92,10.37,1.79168107589629,13.56,2.73696336927323,2.85,Paxta
NMNX-304,0-20 sm,Loy,7.21,1.08,3.87,1.4,23.09,67.25,32.59,432.47,41.7189373444535,16.92,,3.61041170969706,9.44,2.96532891129771,1.24,Paxta
NTXM-313,0-30,Qumoq,8.97,2.28,4.21,1.36,31.06,45.92,26.09,402.48,37.3471807090341,22.82,10.28,1.15018952165305,8.58,2.59880187770552,4.37,Paxta
NMNT-305,0-20 sm,Qumoq,6.99,1.59,1.91,1.34,31.77,86.91,43.05,491.87,50.0928455852993,13.41,10.4,2.99683461396909,6.84,2.93379708400796,1.33,Paxta
NTTM-274,0-20 sm,Qumoq,6.78,1.09,0.98,1.43,23.31,81.05,40.87,466.25,38.6897002152918,25.56,7.42,6,8.63,2.59934182405504,1.36,Paxta
NMNX-41153,0-20 sm,Loy,8.1,2.05,2.38,1.26,20.05,57.79,31.15,430.37,54,27.57,8.71,4.05083619186242,14.86,2.38016641218309,2.63,Paxta
NMNX-41274,0-20 sm,Yengil qum,8.18,1.9,3.35,1.53,30.65,45.6,23.77,396.71,16.2949436357628,29.6,9.48,2.35421326439691,12.96,2.07489101260299,3.35,Paxta
NTXM-313,0-20 sm,Gill,6.66,1.6,4.5,1.42,16.59,33.38,19.36,357.34,53.900024844617,16.71,9.3,2.92248038452086,7.83,2.56846963951307,0.89,Paxta
NMNX-305,0-20 sm,Yengil qum,6.37,0.92,1.35,1.27,31.55,88.72,45.42,469.44,25.0220493557463,18.51,8.94,6,11.79,1.58695934041508,3.84,Paxta
NTXM-314,0-20 sm,Qumoq,6.95,2.02,0.66,,17.74,89.6,43.54,492.77,33.463023798906,17.48,7.16,6,4.66,2.2353691842496,4.45,Paxta
NMNT-306,0-20 sm,Yengil qum,7.4,1.13,3.15,1.27,15.81,63.07,35.07,457.9,36.0461150085525,19.17,8.08,2.43408356376597,14.38,2.03316122533377,4.13,Paxta
NTTM-275,0-30,Qumoq,8.89,1.82,3.21,1.59,23.14,44.49,23.96,422.95,36.2135526164391,29.16,10.72,6,9.56,2.68390485189494,0.79,Paxta
NMNX-41154,0-20 sm,Loy,7.57,2.23,2.38,1.63,15.57,22.94,13.71,301.95,36.7861520292754,22.77,11.16,3.91037837930421,14.07,2.51465239348012,4.59,Paxta
