"Sample","Layer (cm)","Mechanical composition","pH","Humus (%)","Soil EC (mS/cm)","Soil density (g/cm³)","CF (%)","N (mg/kg)","P (mg/kg)","K (mg/kg)","Mg (mg/kg)","Microorganisms  (CFU/g)","S (mg/kg)","Fe (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","Cu (mg/kg)","B (mg/kg)","Crop"
"Navoi-pax-5973","","Gill","6.61","3.67","1.46","1.3","27.39","27.98","11.76","483.62","340.02","388552717.13","56.68","5.45","2.19","12.653079144891","1.9155814411209","3.02","Carrot"
"Navoi-pax-5974","","Sand","6.54","4.62","1.66","1.23","17.6","45.13","11.17","594.8","393.43","588397023.71","49.6","6.3","0.67","16.817642888256","2.1986437108294","0.68","Carrot"
"Navoi-pax-5975","","Gill","6.78","2.8","1.52","1.32","36.14","37.19","12.54","571.2","391.24","498499602.09","59.74","8.35","0.58","10.91153419971","2.4892780653655","2.39","Carrot"
"Navoi-pax-5976","","Sandoq","6.59","5.69","1.58","1.35","26.15","54.78","14.63","221.2","195.02","846757553.54","62.21","14.87","0.96","","2.3026307309338","1.85","Carrot"
"Navoi-pax-5977","","Sandoq","6.76","2.06","1.74","1.34","23.72","25.27","10.69","320.29","221.22","163510769.23","","10.79","1.34","8.6266791032172","1.5682032083962","1.69","Carrot"
"Navoi-pax-5978","","Sand","8.85","1.2","1.89","1.65","37.54","26.39","6.64","170.44","102.48","215187688.57","54.2","8.2","2.4","11.693000875554","1.5292732951904","1.62","Carrot"
"Navoi-pax-5979","","Clay","6.51","5.07","1.91","1.31","34.98","27.35","11.11","535.53","342","208743994.35","68.2","11.04","1.88","10.44650800163","2.5696605395754","2.31","Carrot"
"Navoi-pax-5980","","Sand","6.56","3.54","0.47","1.23","15.28","30.57","11.97","423.69","368","","37.85","9.81","2.06","11.543049827364","2.5776230070407","1.47","Carrot"
"Navoi-pax-5981","","Clay","7.72","4.35","0.51","1.55","38.5","49.51","7.66","324.01","168.08","694904518.68","64.52","7.63","2.87","12.468277003416","2.6216457264643","2.68","Carrot"
"Navoi-pax-5982","","Gill","7.51","1.95","0.55","1.47","35.69","19.39","7.84","174.84","148.09","132365683.7","38.2","12.37","3.99","10.856509750804","2.5697672537694","","Carrot"
"Navoi-pax-5983","","Sandoq","8.16","4.02","0.67","1.52","17.78","46.77","8.37","571.8","373.74","774185362.61","","5.3","3.33","13.015236648912","2.0175972421898","2.37","Carrot"
"Navoi-pax-5984","","Sandoq","6.62","1.26","0.67","1.26","31.29","29.47","11.44","556.4","292.45","279307985.66","38.51","7.89","3.77","10.532080662613","1.5286396290227","2.29","Carrot"
"Navoi-pax-5985","","Sand","7.8","1.92","0.92","1.52","39.64","24.35","5.47","189.63","125.03","153998192.24","","12.28","3.8","16.112660118462","2.4834133103468","2.85","Carrot"
"Navoi-pax-5986","","Clay","7.87","","1.78","1.64","23.69","55.88","8.33","524.53","349.89","761878408.75","32.23","6.38","2.06","7.5281080469323","2.5848883828686","","Carrot"
"Navoi-pax-5987","","Sand","8.84","0.91","0.6","1.64","18.69","15.59","5.26","573.56","307.38","19637465.22","37","6.8","2.57","11.452281337653","1.5","1.55","Carrot"
"Navoi-pax-5988","","Clay","6.79","1.33","0.73","1.33","15.67","22.88","10.67","504","304.08","100804969.58","71.5","19.25","0.58","16.986567726714","1.5948270560383","","Carrot"
"Navoi-pax-5989","","Sandoq","7.95","3.86","0.88","1.51","24.25","48.23","7.65","305.88","261.78","","56.38","7.57","3.15","14.395555862889","2.6735091981892","3.01","Carrot"
"Jomboy_2746","","Clay","8.67","3.81","0.81","1.58","36.42","46.57","7.11","425.08","335.5","475451008.48","59.53","14.23","1.19","13.217793275154","2.5154903313507","1.04","Carrot"
"Samar_tt-1493","","Gill","6.64","5.09","0.75","1.33","25.73","56.09","14.28","482.56","366.69","874472649.67","52.45","18.19","2.8","5.2679428737699","3.4212026526833","1.05","Carrot"
"Jizzax_bug_785","","Sand","8.36","4.17","0.89","1.57","38.93","56.14","7.63","216.24","103.75","768728520.78","58.34","12.15","3.07","12.222519266409","2.6130375336392","2.21","Carrot"
"NMNX-2066","","Gill","7.75","3.42","0.51","1.54","26.71","27.84","6.66","287.85","221.18","","54.38","6.43","3.71","16.352380493021","1.5257701789562","2.26","Carrot"
"Jomboy_2747","","Sandoq","8.17","5.54","0.58","1.57","31.32","48.49","7.42","274.88","234.7","690337520.86","63.26","12.21","0.7","9.2551070111635","1.6655815310639","1.16","Carrot"
"Samar_tt-1494","","Sandoq","8.4","","0.62","1.56","18.24","55.96","7.83","379.9","217.71","808885597","23.17","18.05","0.91","","1.8652907545819","","Carrot"
"Jizzax_bug_786","","Sand","6.77","0.98","1.37","1.33","17.37","19.23","10.3","415.02","341.52","256837403","44.46","18.32","1.8","10.734425055185","2.4148912811207","2.11","Carrot"
"NMNX-2067","","Clay","8.53","","1.59","1.52","33.04","51.6","7.78","300.92","205.72","711130566.4","65.58","9.81","0.71","15.572684835478","2.3541440359377","2.08","Carrot"
"Jomboy_2748","","Sand","6.74","1.63","1.93","1.25","29.98","29.47","11.34","522.18","359.19","229504083.35","42.49","13.01","0.95","11.250623393318","1.7729283069069","1.39","Carrot"
"Samar_tt-1495","","Clay","","3.85","0.91","1.24","24.39","41.34","12.81","395.75","315.94","452013528.88","72.58","19.65","2.62","11.650137324018","3.5","2.6","Carrot"
"Jizzax_bug_787","","Gill","6.65","1.44","1.05","1.25","28.27","28.27","11.44","388.47","304.28","232701336.91","61.9","18.76","1.99","10.890663879519","1.8035266846825","1.03","Carrot"
"NMNX-2068","","Gill","6.67","0.99","1.06","1.21","24.89","17.46","10.29","366.1","217.99","33520192.88","51.24","9.51","0.81","8.1404648265025","2.3645537754403","2.75","Carrot"
"Jomboy_2749","","Sandoq","6.77","1.44","0.8","1.34","24.03","21.35","12.01","261.01","174.05","","56.88","18.16","3.08","","2.3887110804442","0.87","Carrot"
"Jizzax-bax-1657","","Sandoq","6.79","1.75","0.96","1.33","27.23","25.73","10.89","410.47","185.37","176680917.7","51.56","7.49","0.81","13.646680046966","1.372586288664","1.97","Carrot"
"Jizzax-bax-1658","","Sand","6.39","4.81","1","1.33","34.49","45.69","14.23","185.97","169.37","642504481.98","64.97","7.65","3.19","14.258813713834","1.9466605927095","1.74","Carrot"
"Jizzax-bax-1659","","Clay","8.78","1.44","0.86","1.48","34.04","33.31","8.49","591.59","387.75","296838421.3","44.44","17.66","0.76","9.2748285917464","2.2500817571764","2","Carrot"
"Jizzax-bax-1660","","Sand","7.74","1.57","0.75","1.46","30.26","30.29","6.01","431.71","307.85","319870135.59","49.34","12.16","3.97","11.273330636375","1.9855277406302","2.03","Carrot"
"Jizzax-bax-1661","","Clay","8.25","4.47","0.82","1.47","27.99","53.45","9.81","557.64","354.44","816046447.43","70.09","17.02","0.97","12.729473437217","2.6615387365841","1.3","Carrot"
"Jizzax-bax-1662","","Sandoq","6.47","3.36","1.1","1.27","39.4","43.12","14.91","384.68","271","732870131.99","","5.1","2.48","8.8938107457485","1.9805677859104","2.96","Carrot"
"Jizzax-bax-1663","","Clay","6.38","5.44","1.22","1.25","36.15","56.52","14.73","315.48","295.64","879768740.11","63.45","5.25","2.47","7.5205116008795","3.6892174007844","1.42","Carrot"
"Jizzax-bax-1664","","Gill","6.54","2.77","1.34","1.23","29.67","37.04","13.45","546.17","365.01","208358729.81","63.19","","2.94","7.1851698476842","1.8857991620097","1.95","Carrot"
"Jizzax-bax-1665","","Sand","8.72","3.05","0.88","1.53","39.05","53.67","7.97","527.04","348.85","814992269.18","61.71","6.96","1.44","9.2946841309271","2.9953994215229","0.45","Carrot"
"Jizzax-bax-1666","","Gill","6.62","1.91","0.98","1.3","24.81","17.83","10.25","347.05","331.87","27496269.59","72.5","12.14","0.86","","2.5801384391473","1.6","Carrot"
"Jizzax-bax-1667","","Sandoq","6.41","2.71","1.17","1.23","22.74","26.52","11.04","404.24","289.41","321722996.41","50.05","11.02","2.91","14.025166971745","2.2186090631641","2.21","Carrot"
"Jizzax-bax-1668","","Sandoq","6.48","1.45","0.37","1.32","18.71","22.93","10.86","190.67","105.11","179216976.48","32.25","","3.26","8.089002810978","2.9515319983322","1.3","Carrot"
"Jizzax-bax-1669","","Sand","6.45","1.18","0.35","1.23","21.94","15.4","10.64","553.67","374.42","20014207.42","43.72","12.3","3.16","6.5902639554689","1.9210778511467","1.24","Carrot"
"Jizzax-bax-1670","","Clay","6.71","1.57","0.38","1.28","19.61","40.34","11.57","385.32","310.55","434285267.26","58.35","6.77","2.72","14.942516659802","2.3010310688511","1.54","Carrot"
"Jizzax-bax-1671","","Sand","6.74","","0.66","1.3","25.05","51.95","11.96","351.14","222.57","745233420.08","59.55","9.26","0.56","11.398383714318","1.7024072301676","1.69","Carrot"
"Jizzax-bax-1672","","Clay","6.63","2.14","0.77","1.25","39.94","27.16","11.52","388.18","336.1","308199541.56","53.02","14.82","1.8","8.7298898530582","2.6717239506281","2.11","Carrot"
"Jizzax-bax-1673","","Gill","6.3","","0.93","1.31","31.49","54.97","14.54","152.76","100.82","813102646.43","69.27","9.63","3.99","13.059446151106","2.667716998741","2.46","Carrot"
"Jizzax-bax-1674","","Sandoq","7.73","2.57","0.49","1.49","28.24","34.39","5.51","325.32","297.02","","","19.12","3.32","17.956299693668","2.3716899572975","1.91","Carrot"
"Jizzax-bax-1675","","Sandoq","7.72","2.98","0.5","1.46","22.94","22.84","6.76","367.63","183.43","91488867.7","38","10.48","2.76","7.0932150628284","1.9056986072113","","Carrot"
"Jizzax-bax-1676","","Sand","8.78","2.4","0.54","1.61","32.49","28.7","6.11","329.7","239.07","334476571.14","62.52","5.33","1.58","8.2600548953836","1.7198584942212","1.73","Carrot"
"Jizzax-bax-1677","","Clay","6.76","1.64","1.35","1.28","32.64","29.57","11.16","429.39","284.86","219862426.75","50","6.18","1.06","14.023961348291","2.6947901714754","1.77","Carrot"
"Jizzax-bax-1678","","Sand","6.33","1.8","1.39","1.29","24.77","18.08","10.77","156.27","117.73","32095615.51","68.75","9.41","3.88","12.810111090679","2.8615234250128","1.14","Carrot"
"Jizzax-bax-1679","","Clay","7.51","4.64","1.47","1.47","30.49","33.43","5.65","387.36","166.45","281270866.87","65.99","8.48","3.67","6.7173822023979","1.5608233052508","2.77","Carrot"
"Jizzax-bax-1680","","Sandoq","6.47","1.83","1.62","1.3","37.61","18.56","10.61","411.91","276.62","152457752.86","69.98","16.49","2.65","16.10994773983","2.483197518149","0.99","Carrot"
"Jizzax-bax-1681","","Clay","8.86","1.64","1.37","1.61","39.25","21.64","5.36","268.91","181.71","181605128.07","56.42","7.49","0.97","12.696264523597","1.5","","Carrot"
"Jizzax-bax-1682","","Gill","8.89","1.17","1.52","1.65","23.61","34.52","8.19","441.43","262.03","338815157.44","55.9","18.09","3.37","8.675480831063","2.0097197337778","1.85","Carrot"
"Jizzax-bax-1683","","Sand","7.97","2.05","1.31","1.46","37.01","23.73","7.09","482.28","","233166856.5","63.54","6.53","2.9","15.977435181961","2.4932534008397","1.33","Carrot"
"Navoi-pax-5990","","Gill","8.94","1.67","1.67","1.62","20.13","19.42","5.82","281.86","236.62","","46.55","13.52","1.73","7.0103191263475","2.6114262726714","1.03","Carrot"
"Navoi-pax-5991","","Sandoq","7.56","5.44","1.81","1.57","25.55","55.4","8.89","382.84","337.7","871798285.69","65.73","18.35","3.76","7.1200351136963","2.0529652449195","0.94","Carrot"
"Navoi-pax-5992","","Sandoq","8.53","2.73","1.13","1.55","17.17","35.4","5.54","499.28","359.16","382900071.26","62.79","10.73","1.78","13.078054624958","2.208500115119","2.1","Carrot"
"Navoi-pax-5993","","Sand","6.51","","1.39","1.34","15.31","53.97","14.49","360.63","266.93","809606494.93","61.63","9.9","0.97","12.748075970054","2.6778938899573","1.78","Carrot"
"Navoi-pax-5994","","Clay","8.24","5.02","1.88","1.62","32.31","55.61","9.08","422.18","170.35","849629206.74","68.76","5.97","2.75","11.410370144022","1.7032738212462","2.7","Carrot"
"Navoi-pax-5995","","Sand","8.07","2.78","1.27","1.53","29.5","16.52","6.77","349.97","316.46","88895378.25","52.29","13.37","0.86","9.5631091046311","2.7449304338926","2.64","Carrot"
"Navoi-pax-5996","","Clay","8.99","1.37","1.58","1.63","35.95","19.83","5.52","179.04","143.5","77767459.86","50.32","7.94","1.26","6.1028235567713","3.2189189537856","1.17","Carrot"
"Navoi-pax-5997","","Gill","8.67","3.69","0.53","1.56","15.93","36.78","6.93","348.91","332.97","462717434.37","45.55","8.59","1.95","9.062339854327","3.5","1.75","Carrot"
"Navoi-pax-5998","","Sandoq","6.57","2.93","0.51","1.27","15.34","52.83","14.03","223.72","167.78","823867736.27","","8.89","3.38","9.1292206797061","1.7531113438282","","Carrot"
"Navoi-pax-5999","","Sandoq","8.87","4.67","0.63","1.62","17.01","33.74","7.85","510.81","360.6","324041164.57","49.15","15.85","2.17","14.871758185286","2.4950273546647","3.09","Carrot"
"Navoi-pax-6000","","Sand","6.47","5.09","1.58","1.29","22.25","30.23","12.06","199.05","143.6","279798034.65","48.38","18.01","2.34","17.542549140566","2.4462079421641","","Carrot"
"Navoi-pax-6001","","Clay","8.92","1.31","1.57","1.64","24.1","37.51","6.94","160.71","126.01","357836884.86","51.9","16.26","3.22","16.402018052624","2.0405041270728","1.41","Carrot"
"Navoi-pax-6002","","Sand","6.45","5.39","1.69","1.33","20.37","24.97","10.62","165.25","107.52","268216100.81","70.95","8.44","2.99","11.209234019584","3.5","2.76","Carrot"
"Navoi-pax-6003","","Clay","8.84","1.53","1.65","1.61","20.02","36.62","6.06","483.31","356.17","219867264.2","43.67","18.69","2.53","6.3265939466251","2.5497653082234","","Carrot"
"Navoi-pax-6004","","Sandoq","7.58","2.91","1.81","1.52","34.53","33.09","8.45","475.97","283.53","209078035.27","63.19","7.76","4","14.012937529436","2.6202299611241","1.09","Carrot"
"Navoi-pax-6005","","Clay","8.43","1.76","1.88","1.62","22.02","34.91","7.94","298.97","230.23","392906250.94","59.63","8.68","3.47","11.796082995936","2.6771577997236","","Carrot"
"Navoi-pax-6006","","Gill","6.51","5.29","1.11","1.22","26.32","41.12","13.78","204.32","177.56","694678025.97","49.34","5.07","0.55","","1.8910033027948","1.08","Carrot"
"Navoi-pax-6007","","Sand","6.78","1.48","1.45","1.34","23.26","24.37","10.61","467.06","288.51","143091033.7","64.89","17.41","0.71","13.438375007718","2.1336730192621","2.64","Carrot"
"Navoi-pax-6008","","Gill","6.76","3.01","1.62","1.3","19.12","40.66","11.79","248.86","134.18","565461703.61","64.5","19.08","1.44","10.351378593061","2.8726586541008","1.89","Carrot"
"Navoi-pax-6009","","Sandoq","6.35","4.28","0.49","1.23","39.82","38.52","10.44","324.63","225.47","241150970.62","52.95","13.35","3.03","16.329264699237","2.2522106617093","2.63","Carrot"
"Navoi-pax-6010","","Sandoq","8.98","2.48","0.56","1.65","24.65","41.8","8.41","387.59","298.88","452938306.27","46.84","17.49","0.68","19.56018426689","1.7363508963353","1.49","Carrot"
"Navoi-pax-6011","","Sand","6.35","3.9","0.65","1.26","38.95","38.58","13.79","228.97","216.11","","60.25","18.67","2.94","15.68512121144","1.8036782093208","2.59","Carrot"
"Navoi-pax-6012","","Clay","8.32","1.86","1.21","1.57","23.18","22.1","5.95","556.98","305.03","153064249.61","49.36","5.37","0.81","12.431531268269","1.5411705960015","1.16","Carrot"
"Navoi-pax-6013","","Sand","8.02","2.48","1.4","1.46","20.58","35.58","7.83","536.82","391.12","389265321.15","54.58","19.92","2.93","14.140627060722","2.6847702538961","1.53","Carrot"
"Navoi-pax-6014","","Clay","6.64","2.14","1.43","1.32","33.99","23","11.87","304.1","133.15","246843314.87","64.19","14.8","3.21","9.9061418115111","2.1047861873063","","Carrot"
"Navoi-pax-6015","","Gill","7.77","","1.12","1.46","22.61","48.25","7.25","547.39","318.09","690821991.95","47.83","5.29","0.9","17.915679988035","2.1070252212265","1.17","Carrot"
"Navoi-pax-6016","","Gill","6.55","2.59","1.03","1.25","29.47","17.41","10.71","411.83","307.71","65318728.19","54.26","15.57","2.14","11.531918642564","3.0625762242017","2.58","Carrot"
"Navoi-pax-6017","","Sandoq","7.72","5.16","1.1","1.46","26.04","35.34","7.5","286.17","233.42","451268249.39","30.44","19.07","1.38","12.856839463348","2.3825103109019","2.74","Carrot"
"Navoi-pax-6018","","Sandoq","6.57","1.21","0.75","1.28","26.8","16.05","10.19","247.37","168.21","","","19.07","2.05","13.556232681115","2.8612480651901","1.67","Carrot"
"Navoi-pax-6019","","Sand","8.77","1.21","0.85","1.6","32.02","21.38","5.54","422.4","240.81","127105146.68","70.75","17.35","2.49","8.8126030544767","1.7221303449129","1.05","Carrot"
"Navoi-pax-6020","","Clay","8.16","3.57","1.04","1.62","27.27","49.96","8.27","184.89","156.89","741072551.37","59.77","9.04","2.52","8.343139772053","2.6412207946939","2.29","Carrot"
"Navoi-pax-6021","","Sand","6.5","2.76","1.65","1.35","16.9","23.32","11.89","500.51","288.74","168799017.11","56.49","18.05","3.36","13.946484333925","2.2895891823388","2","Carrot"
"Navoi-pax-6022","","Clay","8.11","4.25","1.85","1.57","35.32","43.81","5.76","482.08","307.24","499666499.74","39.82","7.64","2.58","12.836893754155","2.4493724439575","1.4","Carrot"
"Navoi-pax-6023","","Sandoq","8.58","1.37","0.55","1.58","34.73","31.03","7.92","334.76","201.01","457733563.12","61.72","5.92","3.31","11.550211645947","1.3575502941297","","Carrot"
"Navoi-pax-6024","","Clay","7.52","","0.62","1.53","26.4","47.12","7.83","532.11","296.29","776129611.06","31.31","15.87","3.9","14.325468658944","1.8921205442882","","Carrot"
"Navoi-pax-6025","","Gill","8.29","1.95","0.65","1.47","39.31","45.83","8.51","444.07","323.32","535520027.22","64.72","16.89","2.94","13.027622243724","2.9050686039761","2.32","Carrot"
"Navoi-pax-6026","","Sand","8.9","3.25","0.78","1.58","33.91","29.53","8.46","570.03","368.11","275512032.9","56.31","6.02","0.63","10.774998023054","1.7043986292099","2.19","Carrot"
"Navoi-pax-6027","","Gill","6.39","1.99","0.86","1.2","30.66","44.51","13.68","317.64","210.77","543958711.68","56.14","19.72","3.58","12.947795031156","1.9399764552356","1.02","Carrot"
"Navoi-pax-6028","","Sandoq","6.66","5.54","1.05","1.26","32.54","59.79","14.92","561.84","343.07","900857391.75","","","0.99","14.726752114116","1.8883182787012","2.77","Carrot"
"Navoi-pax-6029","","Sandoq","8.65","3.22","1.49","1.47","31.12","35.11","7.68","350.59","236.24","303064442.65","51","11.77","0.73","","3.0865466250487","3.04","Carrot"
"Navoi-pax-6030","","Sand","8.39","2.92","1.72","1.5","18.6","30.35","6.55","517.34","362.39","181863000.2","59.04","17.79","2.62","8.1515550961253","2.9","0.92","Carrot"
"Navoi-pax-6031","","Clay","6.68","1.95","1.95","1.32","36.92","48.75","12.8","526.09","","545595927.45","","5.03","2.66","15","2.9","0.79","Carrot"
"Navoi-pax-6032","","Sand","6.58","2.91","1.3","1.24","37.89","38.39","12.93","247.06","133","","48.46","8.61","","8.5980166874777","2.3467370867231","1.24","Carrot"
"Navoi-pax-6033","","Clay","6.35","","1.16","1.33","26.67","56.98","14.84","285.74","164.15","884042698.54","51.28","14.37","2.22","6.275997731026","2.9058394393783","1.26","Carrot"
"Navoi-pax-6034","","Gill","6.56","2.06","1.39","1.22","39.83","34.57","11.77","198.13","169.57","386302399.84","56.9","10.26","1.56","5.3451848347058","2.250989418072","1.08","Carrot"
"Navoi-pax-6035","","Sandoq","6.35","1.58","0.78","1.31","22.42","31.2","12.35","490.94","352.6","402029597.54","63.65","10.21","3.99","12.813702091376","1.7718966063514","2.45","Carrot"
"Navoi-pax-6036","","Sandoq","6.37","1.99","0.73","1.24","25.34","20.5","10.72","533.91","352.49","120042712.03","35.44","18.86","3","12.775550865441","2.9626724615147","1.9","Carrot"
"Navoi-pax-6037","","Sand","6.64","5.52","0.72","1.32","25.07","48.65","14.57","286.71","207.66","721877623.95","52.99","14.64","1.18","18.055975777775","1.2522848204358","2.19","Carrot"
"Navoi-pax-6038","","Clay","8.17","1.79","1.31","1.56","29.59","18.02","5.48","302.58","284.79","52374648.7","70.49","8.35","","8.4399208067688","2.9021953367074","1.55","Carrot"
"Navoi-pax-6039","","Sand","8.35","4.48","1.41","1.51","32.08","33.52","8.81","302.9","179.52","342651564.29","51.03","12.08","2.46","11.655238467221","2.8190307123387","2.09","Carrot"
"Navoi-pax-6040","","Clay","6.59","0.82","1.34","1.2","28.11","16.57","10.01","550.55","252.5","26687509.15","58.71","7.65","2.36","17.560620824538","1.8441589154014","1.38","Carrot"
"Navoi-pax-6041","","Sandoq","8.09","2.4","0.94","1.64","29.76","22.85","7.43","548.32","346.14","134022683.03","67.21","10.07","3.96","10.503002607605","1.4473672498354","2.39","Carrot"
"Navoi-pax-6042","","Clay","7.78","4.25","0.98","1.46","36.94","38.01","7.64","189.94","","419740936.89","63.2","5.13","2.1","13.474919086488","1.8478782687616","","Carrot"
"Navoi-pax-6043","","Gill","8.86","4.8","0.87","1.62","24.83","33.92","8.27","265.88","","515237812.29","40.9","","2.12","12.537615864632","1.6836645396904","2.69","Carrot"
"Navoi-pax-6044","","Sand","8.62","3.19","1.35","1.52","24.64","48.04","9.23","511.46","350.85","670483429.3","49.27","17.03","2.26","8.3054598898525","2.4497864167047","1.46","Carrot"
"Navoi-pax-6045","","Gill","6.31","1.36","1.41","1.24","17.64","16.98","10.15","208.75","110.93","34999747.5","52.23","","3.84","13.41870058533","1.2","1.08","Carrot"
"Navoi-pax-6046","","Sandoq","6.66","","1.59","1.32","30.45","51.34","11.87","300.85","299.78","623255678.39","57.84","11.74","0.6","8.0314033304785","1.9822749623157","1.6","Carrot"
"Navoi-pax-6047","","Sandoq","8.28","2.58","1.32","1.61","30.45","29.14","5.07","265.56","252.16","200072622.15","69.63","17.94","3.29","9.1999685418088","1.8660955469135","2.36","Carrot"
"Navoi-pax-6048","","Sand","7.76","","1.24","1.55","29.62","56.82","9.61","559.96","321.6","842540558.09","58.44","18.68","3.27","10.934805597874","2.2449016711245","1.23","Carrot"
"Navoi-pax-6049","","Clay","8.72","3.19","1.45","1.62","26.53","30.31","9.57","515.78","325.18","479133456.76","54.04","11.54","2.17","14.552973855072","2.6604596179887","1.44","Carrot"
"Navoi-pax-6050","","Sand","6.3","","0.65","1.33","29.55","38.17","12.23","418.01","196.69","365726405.25","46.47","17.26","3.86","7.2230960780066","1.8457574324724","2.21","Carrot"
"Navoi-pax-6051","","Clay","6.62","3.67","0.62","1.3","25.27","19.02","10.57","510.42","251.33","123234979.95","72.33","12.55","1.6","14.219172850105","1.6495353245757","0.84","Carrot"
"Navoi-pax-6052","","Gill","6.55","3.63","0.83","1.24","31.79","46.76","11.54","301.14","193.44","555508563.39","40.57","16.76","2.96","7.4449970081081","2.7810656497499","2.63","Carrot"
"Navoi-pax-6053","","Sandoq","6.33","3.39","1.28","1.25","37.9","39.27","12.87","436.03","327.08","610058337.19","59.81","13.4","2.93","10.401987603388","2.7639385279104","1.87","Carrot"
"Navoi-pax-6054","","Sandoq","6.51","4.06","1.44","1.27","29.69","38.83","14.3","401.85","162.09","499430430.99","39.26","19.56","3.12","10.977100365669","3.9342677175689","","Carrot"
"Navoi-pax-6055","","Sand","6.54","3.29","1.9","1.34","18.16","53.94","14.91","192.59","110.02","841468199.26","55.68","13.83","3.75","10.759198202066","3.0214140310482","2.3","Carrot"
"Navoi-pax-6056","","Clay","6.31","5.06","0.62","1.21","37.12","45.64","11.83","258.89","216.82","394689155.07","65.27","18.69","3.46","14.240389561019","2.2240277267391","1.74","Carrot"
"Jomboy_2747","","Sand","8.55","2.5","0.73","1.63","15.21","18.34","6.05","227.87","218.09","46227369.21","64.11","7.39","1.05","9.9590464926087","1.828488159626","","Carrot"
"Samar_tt-1494","","Clay","8","3.95","0.91","1.53","34.04","42.76","9.43","313.94","279.83","600065343.37","50.98","17.33","2.6","12.892362606783","1.6534073952066","","Carrot"
"Jizzax_bug_786","","Sandoq","6.35","5","0.98","1.24","15.29","27.67","10.95","345.16","344","323449923.45","49.29","15.09","3.63","10.194982984173","2.1304799608452","1.01","Carrot"
"NMNX-2067","","Clay","6.42","4.25","0.9","1.25","20.95","36.74","12.19","251.08","203.26","566396743.27","43.73","13.94","1.72","7.8966411568497","2.5920624470205","2.28","Carrot"
"Jomboy_2748","","Gill","6.52","1.29","1.08","1.21","22.9","18.73","10.15","170.54","107.08","101464634.47","58.63","9.85","1.79","10.705957733791","2.3460939006335","","Carrot"
"Samar_tt-1495","","Sand","6.37","","0.86","1.31","21.27","57.13","14.58","452.4","213.79","860738657.26","58.18","6.47","1.83","14.27203737308","2.3294187621932","2.37","Carrot"
"Jizzax_bug_787","","Gill","6.66","4.33","1.07","1.29","23.76","36.96","12.09","294.4","201","331129673.56","28.97","7.93","1.33","12.65472228174","2.3534829261473","2.23","Carrot"
"NMNX-2068","","Sandoq","6.41","3.95","1.38","1.26","23.2","26.73","12.03","491.15","307.57","242560155.86","51.05","18.98","1.87","10.207585378576","1.4420967789489","2.59","Carrot"
"Jomboy_2749","","Sandoq","6.77","2.88","0.63","1.23","36.62","33.22","13.34","350.33","304.87","262992380.37","51.14","13.75","0.8","12.429758381553","2.0932642373022","2.22","Carrot"
"Samar_tt-1496","","Sand","8.24","3.23","0.77","1.64","16.78","45.75","6.49","525.65","365.2","536864258.47","49.25","8.65","2.25","6.4014671258973","2.6886531396607","2.91","Carrot"
"Jizzax_bug_788","","Clay","8.26","2.58","0.86","1.6","23.61","33.09","5.59","154.07","100.53","418176898.08","64.15","16.72","1.29","10.46796566561","1.935013626692","1.32","Carrot"
"NMNX-2069","","Sand","6.66","4.7","0.77","1.35","24.79","20.64","12.58","204.82","124.58","194686449.19","66.86","","1.01","12.722116557639","3.223886937505","1.98","Carrot"
"Jomboy_2750","","Clay","7.99","3.5","0.85","1.56","36.77","42.15","9.14","280.93","199.08","570763762.31","69.9","14.7","3.01","","1.2","1.06","Carrot"
"Jizzax-bax-1684","","Gill","8.59","2.55","0.91","1.46","28.71","43.11","8.13","177.3","121.02","624951125.35","50.78","9.99","0.73","15.036554629658","3.6836400379857","1.42","Carrot"
"Jizzax-bax-1685","","Gill","8.26","3.01","0.86","1.64","28.72","29.8","8.23","476.76","383.43","510418017.31","","16.31","2.34","5.5808695716817","1.3666458492377","1.03","Carrot"
"Jizzax-bax-1686","","Sandoq","7.53","5.61","0.95","1.47","15.13","53.54","9.02","205.92","146.46","455091554.47","52.46","7.53","3.28","13.212131863375","2.2573826696604","3.06","Carrot"
"Jizzax-bax-1687","","Sandoq","6.73","2.36","1.03","1.32","38.62","27.33","13.71","222.92","209.43","429385639.53","49.85","16.23","1.2","7.9595766625844","1.5","1.98","Carrot"
"Jizzax-bax-1688","","Sand","7.68","2.49","0.77","1.61","25.23","18.55","5.68","371.57","310.63","58403473.09","44.92","13.49","2.31","11.059918875101","2.0539935536718","2.75","Carrot"
"Jizzax-bax-1689","","Clay","8.85","1.52","0.83","1.65","37.21","20.71","5.64","330.86","147.59","50912118.08","57.66","18.74","1.7","","1.5036076013402","1.85","Carrot"
"Jizzax-bax-1690","","Sand","8.95","1.35","0.91","1.58","20.79","17.17","5.52","422.57","189.58","45765458.22","58.93","17.03","1.42","11.703715093169","2.788300497311","1.45","Carrot"
"Jizzax-bax-1691","","Clay","8.85","3.82","0.71","1.64","18.93","42.56","7.37","542.28","318.35","615766527.1","54.1","9.76","2.31","8.8967687842429","1.8196903332887","1.36","Carrot"
"Jizzax-bax-1692","","Sandoq","8","2.18","0.79","1.5","39.77","15.97","5.99","593.24","395.95","37996324.26","60.71","12.44","1.66","17.18411851497","2.6635087856379","1.25","Carrot"
